Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
3,"FH Lau, R Majumder, R Torabi, F Saeg, R Hoffman…","Vitamin D insufficiency is prevalent in severe COVID-19",2020,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/10.1101/2020.04.24.20075838v1.abstract","https://scholar.google.com/scholar?cites=1087898060926595266&as_sdt=2005&sciodt=0,5&hl=en",100,"2020-06-03 23:58:10","","","","",,,,,3,3.00,1,6,1,"… a hypercoagulable state. A meta-analysis of 1,779 COVID-19 patients reported that platelet counts were significantly lower in severe COVID-19, and that lower platelet counts were associated with mortality.15 Anticoagulation …"
0,"JS Raval, AE Burnett, MA Rollins‐Raval…","Viscoelastic Testing in COVID‐19: A Possible Screening Tool for Severe Disease?",2020,"…","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/trf.15847","",166,"2020-06-03 23:58:10","CITATION","","","",,,,,0,0.00,0,4,1,"… and limitations of viscoelastic testing in these critically ill patients with a hypercoagulable state.12 … B, Mao J. The pathogenesis and treatment of the `Cytokine Storm' in COVID- 19 … G, Novembrino C, Chantarangkul V, Pesenti A, Peyvandi F, Tripodi A. Hypercoagulability of COVID …"
2,"A Porfidia, R Pola","Venous thromboembolism and heparin use in COVID-19 patients: juggling between pragmatic choices, suggestions of medical societies",2020,"","Springer","https://link.springer.com/content/pdf/10.1007/s11239-020-02125-4.pdf","https://scholar.google.com/scholar?cites=8721747531605610913&as_sdt=2005&sciodt=0,5&hl=en",137,"2020-06-03 23:58:10","","","","",,,,,2,2.00,1,2,1,"… However, there is a strong feeling around the medical community that prophylactic doses of anticoagulation might not be sufficient to contrast the hypercoagulable state displayed by many COVID-19 patients in response to a cytokine storm syndrome …"
38,"…, C Sacco, B Alexia, MT Sandri, S Barco, H COVID…","Venous and arterial thromboembolic complications in COVID-19 patients admitted to an academic hospital in Milan, Italy",2020,"Thrombosis research","Elsevier","https://www.sciencedirect.com/science/article/pii/S0049384820301407","https://scholar.google.com/scholar?cites=13584127255307342929&as_sdt=2005&sciodt=0,5&hl=en",351,"2020-06-03 23:58:10","","","","",,,,,38,38.00,5,7,1,"Background Few data are available on the rate and characteristics of thromboembolic complications in hospitalized patients with COVID-19. Methods We studied consecutive symptomatic patients with laboratory-proven COVID-19 admitted to a university hospital in …"
0,"A Longchamp, J Longchamp…","Venous Thromboembolism in Critically Ill Patients with Covid‐19: Results of a Screening Study for Deep Vein Thrombosis",,"Research and Practice …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/rth2.12376","",191,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,3,,"… It remains unknown whether this high rate of VTE is related to a Covid-19 specific hypercoagulable state, or if it results from the overall condition of these patients, with profound and prolonged sedation, prone positioning, and systemic inflammation. Under …"
0,"S Tal, G Spectre, R Kornowski, L Perl","Venous Thromboembolism Complicated with COVID-19: What Do We Know So Far?",2020,"Acta Haematologica","karger.com","https://www.karger.com/Article/Abstract/508233","",242,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,4,1,"… recognition, patients can be asymptomatic carriers or have a range of symptoms with a presentation resembling pneumonia, showing mainly fever, cough, fatigue, and dyspnea [4-7]. Several recent studies suggest a hypercoagulable state in patients presenting with COVID-19 …"
13,"JD Bouaziz, T Duong, M Jachiet…","Vascular skin symptoms in COVID‐19: a french observational study",2020,"Journal of the …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jdv.16544","https://scholar.google.com/scholar?cites=96187183164327578&as_sdt=2005&sciodt=0,5&hl=en",59,"2020-06-03 23:58:10","","","","",,,,,13,13.00,3,4,1,"… dysregulation, vasculitis, vessel thrombosis or neoangiogenesis. Infected COVID-19 patients with severe respiratory distress have an increased risk of pulmonary embolism (9) suggesting a hypercoagulable state of these patients. Seven …"
0,"TD Henry, CL Grines","VIRTUAL: Hypercoagulability and Antithrombotic Recommendations During the COVID-19 Pandemic",2020,"2020 Scientific Sessions","scai.confex.com","https://scai.confex.com/scai/2020/meetingapp.cgi/Session/2949","",136,"2020-06-03 23:58:10","CITATION","","","",,,,,0,0.00,0,2,1,""
0,"A Gefen, K Ousey","Update to device-related pressure ulcers: SECURE prevention. COVID-19, face masks and skin damage",2020,"Journal of Wound Care","magonlinelibrary.com","https://www.magonlinelibrary.com/doi/abs/10.12968/jowc.2020.29.5.245","",250,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,2,1,"… Also, it appears that COVID-19 with its fundamental characteristics of a cytokine release syndrome ('cytokine storm'), endothelial dysfunction, drop in oxygen saturation, hypercoagulability leading to microthromboses and potential effects on cardiac output interacts with two of the …"
0,"NS Hendren, JL Grodin, MH Drazner","Unique Patterns of Cardiovascular Involvement in COVID-19",2020,"Journal of cardiac failure","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7224644/","",141,"2020-06-03 23:58:10","HTML","","","",,,,,0,0.00,0,3,1,"… while others present with a variety of symptoms including cardiac, neurological, and hypercoagulable complications 1 , 2 , 3 , 4 . We recently have termed the broad spectrum of cardiovascular and thromboembolic complications the acute COVID-19 cardiovascular syndrome …"
0,"V Andrea, F Gianluca, P Rodolfo, T Paolo…","Unheralded Lower Limb Threatening Ischemia in a COVID-19 Patient",2020,"International Journal of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1201971220303672","",236,"2020-06-03 23:58:10","HTML","","","",,,,,0,0.00,0,5,1,"… mortality in different experiences.( Tang et al., 2020a, Wu et al., 2020) Although no data are available about the role of a possible hypercoagulable status in severely diseased patients, it is suggested that heparin can play a role in reducing mortality in severe COVID-19 patients …"
0,"J Thachil, S Agarwal","Understanding the COVID‐19 coagulopathy spectrum",2020,"Anaesthesia","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/anae.15141","",71,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,2,1,"… Based on several reports of hypercoagulability, it is now recognised that all patients with COVID-19 requiring hospitalisation require prophylactic anticoagulation in the absence of absolute contra- indications [22, 23] … COVID-19-related severe hypercoagulability in patients …"
0,"BS Joly, V Siguret, A Veyradier","Understanding pathophysiology of hemostasis disorders in critically ill patients with COVID-19",2020,"Intensive Care Medicine","Springer","https://link.springer.com/content/pdf/10.1007/s00134-020-06088-1.pdf","",58,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,3,1,"… To monitor critically ill COVID-19 patients, the minimal panel of hemostasis tests should … High fibrinogen and D-dimer levels both reflect the hypercoagulable and inflammatory state … tests performed on whole blood could be helpful to both better explore hypercoagulability and pre …"
4,"J Thachil, N Tang, S Gando, A Falanga…","Type and dose of heparin in COVID‐19",2020,"… of Thrombosis and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jth.14870","https://scholar.google.com/scholar?cites=5108598793549585965&as_sdt=2005&sciodt=0,5&hl=en",276,"2020-06-03 23:58:10","","","","",,,,,4,4.00,1,5,1,"… therapy.5 At the time of writing the interim document, our aim was to highlight the urgent need to consider thromboprophylaxis in ALL patients who require hospital admission for COVID-19 to mitigate poor outcomes from the marked hypercoagulability …"
0,"L Roncati, G Ligabue, L Fabbiani, C Malagoli…","Type 3 hypersensitivity in COVID-19 vasculitis",2020,"Clinical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1521661620304526","",357,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,5,1,"… necrosis, the so called «leukocytoclastic vasculitis» (LCV), also reported in the English medical literature by the term «hypersensitivity vasculitis» [6]; platelet aggregation correlates with hypercoagulability and thrombosis, disorders described in course of COVID-19, too [7]. The …"
0,"T Asif, Z Ali","Transient ST Segment Elevation in Two Patients with COVID-19 and a Normal Transthoracic Echocardiogram",2020,"European Journal of Case Reports in Internal …","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7213832/","",349,"2020-06-03 23:58:10","HTML","","","",,,,,0,0.00,0,2,1,"… CoV-2 infection or a type 2 myocardial infarction from severe hypoxia and hypotension [4, 5] . Acute coronary syndrome type 1 also remains a possibility given the systemic proinflammatory stimulation and hypercoagulability in patients with acute COVID-19 [7] . Management of …"
0,"DNR DO, MD Tazeen Beg, MD Shaji Poovathoor…","Tracheobronchial Slough, a Potential Pathology in Endotracheal Tube Obstruction in Patients with Coronavirus Disease 2019 (COVID-19) in the Intensive Care …",,"journals.lww.com","","https://journals.lww.com/annalsofsurgery/Documents/Tracheobronchial%20Slough.pdf","",196,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,4,,"… ventilation. It was felt initially that this was secondary to a pulmonary embolus due to the hypercoagulable nature of COVID-19. However, assessment of his ventilatory parameters raised concern for an acute airway obstruction …"
0,"PT Kariyanna, NA Hossain…","Thrombus in Transit and Impending Pulmonary Embolism Detected on POCUS in a Patient with COVID-19 Pneumonia",2020,"American Journal of …","researchgate.net","https://www.researchgate.net/profile/Naseem_Hossain/publication/341446656_Thrombus_in_Transit_and_Impending_Pulmonary_Embolism_Detected_on_POCUS_in_a_Patient_with_COVID-19_Pneumonia/links/5ec1646d92851c11a86d4902/Thrombus-in-Transit-and-Impending-Pulmonary-Embolism-Detected-on-POCUS-in-a-Patient-with-COVID-19-Pneumonia.pdf","",111,"2020-06-03 23:58:10","PDF","","","",,,,,0,0.00,0,3,1,"… respiratory syndrome coronavirus 2 (SARS-Cov-2). Among the major underlying pathophysiologic mechanisms in COVID 19 is hypercoagulability, leading to increased risk for deep vein thrombosis and pulmonary embolism that contribute to increased morbidity and mortality …"
0,"SM Stoneham, KM Milne, E Nuttal, GH Frew…","Thrombotic risk in COVID-19: a case series and case–control study",2020,"Clinical …","rcpjournals.org","https://www.rcpjournals.org/content/clinmedicine/early/2020/05/18/clinmed.2020-0228.abstract","",439,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,5,1,"… exposing underlying collagen with release of prothrombotic mediators resulting in increased fibrin turnover and hypercoagulability. This requires further investigation. Overall, these data confirm that D-dimer levels are raised in most hospitalised patients with COVID-19 infection …"
0,"F Al-Ani, S Chehade, A Lazo-Langner","Thrombosis risk associated with COVID-19 infection. A scoping review",2020,"Thrombosis Research","Elsevier","https://www.sciencedirect.com/science/article/pii/S0049384820302115","",224,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,3,1,"… This observation might indicate that a hypercoagulable status associated with the course of severe COVID-19 infection could be related to prognosis. A second study reported a significantly higher incidence of DIC reported among non survivors compared to survivors (6.4% vs …"
0,"S Barco, SV Konstantinides…","Thrombosis and Thromboembolism Related to COVID‐19 A clarion call for obtaining solid estimates from large‐scale multicenter data",,"Research and Practice …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/rth2.12364","",277,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,3,,"… 19 infection: A report of five cases. Transl Res. 2020. 10.1016/j.trsl.2020.04.007. 6 Connors JM, Levy JH. Thromboinflammation and the hypercoagulability of COVID-19. J Thromb Haemost. 2020. 10.1111/jth.14849. 7 Tang …"
0,"S Barco","Thrombosis and Thromboembolism Related to COVID-19",,"researchgate.net","","https://www.researchgate.net/profile/Stefano_Barco/publication/340965336_Thrombosis_and_Thromboembolism_Related_to_COVID-19_A_clarion_call_for_obtaining_solid_estimates_from_large-scale_multicenter_data/links/5ea7ca54299bf11256159c10/Thrombosis-and-Thromboembolism-Related-to-COVID-19-A-clarion-call-for-obtaining-solid-estimates-from-large-scale-multicenter-data.pdf","",212,"2020-06-03 23:58:10","PDF","","","",,,,,0,0.00,0,1,,"… A report of five cases. Transl Res. 2020. 10.1016/j.trsl.2020.04.007. 6 Connors JM, Levy JH. Thromboinflammation and the hypercoagulability of COVID-19. J Thromb Haemost. 2020. 10.1111/jth.14849. 7 Tang N, Bai H, Chen …"
21,"JM Connors, JH Levy","Thromboinflammation and the hypercoagulability of COVID‐19",2020,"Journal of Thrombosis and Haemostasis","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jth.14849","https://scholar.google.com/scholar?cites=10053950473843897285&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-06-03 23:58:10","","","","",,,,,21,21.00,11,2,1,"The pathogenic coronavirus has been wreaking havoc worldwide since January. Infection with SARS‐CoV‐2 is problematic as no one has prior immunity, and no specific antiviral treatments are available. While many people with COVID‐19 develop mild to moderate …"
0,"N Lorenzo-Villalba, AA Zulfiqar, M Auburtin…","Thrombocytopenia in the Course of COVID-19 Infection",2017,"European Journal of …","ejcrim.com","https://ejcrim.com/index.php/EJCRIM/article/view/1702","",270,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,4,3,"… INTRODUCTION Many haematological abnormalities such as blood hypercoagulability, elevated D-dimer levels, PT and aPTT prolongation, severe thrombocytopenia and disseminated intravascular coagulation (DIC) have been reported during COVID-19 infection …"
0,"PM Honore, A Mugisha, L Kugener…","Therapeutic plasma exchange as a routine therapy in septic shock and as an experimental treatment for COVID-19: we are not sure",2020,"Critical …","ccforum.biomedcentral.com","https://ccforum.biomedcentral.com/articles/10.1186/s13054-020-02943-1","",167,"2020-06-03 23:58:10","HTML","","","",,,,,0,0.00,0,4,1,"… is unique by offering benefit on multiple levels by removing inflammatory cytokines, stabilizing endothelial membranes, and resetting the hypercoagulable state [1 … The fact that the inflammation is huge during COVID-19 does not justify the non-selective removal of inflammation …"
5,"X Liu, Z Li, S Liu, Z Chen, Z Zhao, Y Huang, Q Zhang…","Therapeutic effects of dipyridamole on COVID-19 patients with coagulation dysfunction",2020,"MedRxiv","medrxiv.org","https://www.medrxiv.org/content/10.1101/2020.02.27.20027557v1.abstract","https://scholar.google.com/scholar?cites=6993920329398313701&as_sdt=2005&sciodt=0,5&hl=en",72,"2020-06-03 23:58:10","","","","",,,,,5,5.00,1,8,1,"… infected patients could potentially benefit from DIP adjunctive therapy by reducing viral replication, 59 suppressing hypercoagulability and enhancing immune recovery … COVID-19 cases including 2,666 deaths in China. Over 2,500 infections have also been reported in 68 …"
105,"W Zhang, Y Zhao, F Zhang, Q Wang, T Li, Z Liu…","The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The experience of clinical immunologists from China",2020,"Clinical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1521661620301984","https://scholar.google.com/scholar?cites=3973907545180880990&as_sdt=2005&sciodt=0,5&hl=en",427,"2020-06-03 23:58:10","","","","",,,,,105,105.00,15,7,1,"… From the point of view of rheumatologists, except for respiratory failure, the critical ill COVID-19 patients have common features: 1 … cells in lung lesion are monocytes and macrophages, but minimal lymphocytes infiltration; 6) mimicry of vasculitis, hypercoagulability and multiple …"
0,"ME Canonico, R Siciliano, F Scudiero…","The tug-of-war between coagulopathy and anticoagulant agents in patients with COVID-19",2020,"European Heart …","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7239225/","",116,"2020-06-03 23:58:10","HTML","","","",,,,,0,0.00,0,4,1,"… cell function leading to vessel wall damage, contributing to a hypercoagulable state … the consequent venous stasis completes the Virchow's triad (ie hypercoagulability, endothelial injury … treatment was associated with decreased mortality in severely affected COVID-19 patients.1 …"
0,"T Deltombe, N Draulans, A Esquenazi, GE Francisco…","The role of physical and rehabilitation medicine in the COVID-19 pandemic: the clinician's view",1920,"","sofmer-journal-club.com","https://www.sofmer-journal-club.com/wp-content/uploads/covid-19/articles-mpr/The-role-of-physical-and-rehabilitation-medicine-in-the-COVID-19.pdf","",293,"2020-06-03 23:58:10","PDF","","","",,,,,0,0.00,0,5,100,"… For other problems, patients with severe and critical COVID-19 frequently show hypercoagulability (as demonstrated by elevated d-dimer level), which can in some cases evolve to disseminated intravascular coagulation along with prolonged immobility …"
0,"T Deltombe, N Draulans, A Esquenazi, GE Francisco…","The role of physical and rehabilitation medicine in the COVID-19 pandemic: the clinician's view",1920,"","sofmer-journal-club.com","https://www.sofmer-journal-club.com/wp-content/uploads/covid-19/articles-mpr/The-role-of-physical-and-rehabilitation-medicine-in-the-COVID-19.pdf","",313,"2020-06-03 23:58:10","PDF","","","",,,,,0,0.00,0,5,100,"… For other problems, patients with severe and critical COVID-19 frequently show hypercoagulability (as demonstrated by elevated d-dimer level), which can in some cases evolve to disseminated intravascular coagulation along with prolonged immobility …"
7,"C Shi, C Wang, H Wang, C Yang, F Cai, F Zeng…","The potential of low molecular weight heparin to mitigate cytokine storm in severe COVID-19 patients: a retrospective clinical study",2020,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/10.1101/2020.03.28.20046144v3.abstract","https://scholar.google.com/scholar?cites=12491775323190874583&as_sdt=2005&sciodt=0,5&hl=en",364,"2020-06-03 23:58:10","","","","",,,,,7,7.00,1,7,1,"… in the type of treatment given to the patients, inferring that the purpose 219 of medication in the LMWH group was to improve hypercoagulability … 222 Apart of its anticoagulant activity, there are other routes to explain a favorable effect of LMWH on 223 COVID-19 patients …"
0,"KE Kerboua","The perplexing question of trained immunity versus adaptive memory in COVID‐19",2020,"Journal of Medical Virology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/jmv.26083","",440,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,1,1,"… might intensify disease severity resulting in hypercoagulability state and multi organ failure 8 . In this respect, restoration of lymphocyte counts and function upon 6 days could rebalance cytokines production and resolve hyperinflammation in severe cases of COVID-19. 9 Page 3 …"
0,"GC Román, PS Spencer, J Reis, A Buguet…","The neurology of COVID-19 revisited: A proposal from the Environmental Neurology Specialty Group of the World Federation of Neurology to implement …",2020,"Journal of the …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022510X20302203","",341,"2020-06-03 23:58:10","HTML","","","",,,,,0,0.00,0,5,1,"… Journal of the Neurological Sciences. Review Article. The neurology of COVID-19 revisited: A proposal from the Environmental Neurology Specialty Group of the World Federation of Neurology to implement international neurological registries …"
0,"IH Khan, S Savarimuthu, MST Leung…","The need to manage the risk of thromboembolism in COVID-19 patients",2020,"Journal of Vascular …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0741521420311575","",68,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,4,1,"… or increased fibrinogen, platelet count, PT, and aPTT, which is consistent with hypercoagulability than DIC … COVID-19 patients are at increased risk of thrombosis due to many reasons … including inflammation, immobility, and other factors that contribute to a hypercoagulable state …"
0,"A De Spiegeleer, A Bronselaer, JT Teo, G Byttebier…","The effects of ARBs, ACEIs and statins on clinical outcomes of COVID-19 infection among nursing home residents",2020,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/10.1101/2020.05.11.20096347v1.abstract","",171,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,5,1,"… Page 5. O Ref: 2020-120l Page 5 of 16 dysfunction and hypercoagulability. COVID-19 infection and ARDS are associated with increased Angpt-2 levels in blood, while 103 statins simulate the Angpt-1 pathways. 2) The RAS …"
0,"S Kazi, AK Malinowski, M Othman","The delights and perils of publishing, knowledge-sharing and critique during a pandemic: Observations from COVID-19 coagulopathies",2020,"Thrombosis Research","thrombosisresearch.com","https://www.thrombosisresearch.com/article/S0049-3848(20)30195-X/abstract","",173,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,3,1,"… Bottino N. Tagliabue P. Grasselli G. Novembrino C. Chantarangkul V. Pesenti A. Peyvandi F. Tripodi A. Hypercoagulability of COVID-19 patients in intensive care unit. A report of thromboelastography findings and other parameters of hemostasis. J. Thromb. Haemost …"
4,"JJ Shatzel, EP DeLoughery, CU Lorentz…","The contact activation system as a potential therapeutic target in patients with COVID‐19",2020,"… and Practice in …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/rth2.12349","https://scholar.google.com/scholar?cites=17343137341344491669&as_sdt=2005&sciodt=0,5&hl=en",378,"2020-06-03 23:58:10","","","","",,,,,4,4.00,1,4,1,"… and 90% of patients, respectively.[1] The FDA has since approved a Phase 3 clinical trial of tocilizumab (Actemra®, Genentech) in COVID-19 patients with pneumonia.[2] Dysregulated coagulation with hypercoagulability is common with severe acute respiratory syndrome …"
0,"S Fatima, S Bukhari, J Pacella","The cardiovascular implications of COVID-19: A Comprehensive Review",2020,"Medical Research Archives","journals.ke-i.org","https://journals.ke-i.org/mra/article/view/2140","",403,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,3,1,"… few days. Patients with COVID-19 are likely at a higher risk of venous thromboembolism in the presence of venous stasis along with hypercoagulability and endothelial dysfunction secondary to severe illness. Patients with COVID …"
